DOW,DOW_NBR_PRIMARY,FISHERIES_WATERBODY_ID,WATERSHED_MINOR_ID,DOW_SUB_BASIN_NBR_PRIMARY,LAKE_CLASS_ID_PRIMARY,LAKE_CLASS_ID_ALTERNATE,PLS_SECTION_ID_LAKE_CENTER,LAKE_NAME,ALT_LAKE_NAME,mean.gdd,area.hectares,LAKE_AREA_DOW_ACRES,LAKE_AREA_GIS_ACRES,LAKE_AREA_PLANIMETERED_ACRES,MAX_DEPTH_FEET,MEAN_DEPTH_FEET,PDIST_cum,SHORE_LENGTH_MILES,MAX_FETCH_MILES,littoral.zone,LITTORAL_AREA_ACRES,secchi.m,FETCH_ORIENTATION_DEGREES,LAKE_CENTER_LAT_DD5,LAKE_CENTER_LONG_DD5,LAKE_CENTER_UTM_EASTING,LAKE_CENTER_UTM_NORTHING
1000100,10001,3939,35035,0,31,28,4302226,Pine,South Pine,2630.621967,152.8741834,391,377.76,372,28,20,0.189212019,4.95,2.02,0.35774741,96,1.7525,45,46.18604,-93.07766,494097.1,5114741.4
1001500,10015,2079,9003,0,21,NA,5002208,Shumway,Green,2471.00036,30.01960748,71,74.18,68,23,NA,0.056891026,1.57,0.51,0.833875742,28,2.1336,225,46.82979,-93.14641,488814,5186311.2
1001900,10019,2050,3022,0,39,NA,5002205,Wolf,NA,2441.032906,70.18469298,168,173.43,168,31,NA,0.004153294,2.32,0.72,0.93510411,161,1.40208,270,46.85054,-93.16297,487626.2,5188546.5
1002300,10023,2205,9070,0,29,NA,4902325,Round,NA,2350.187171,223.993701,571,553.5,577,27,NA,0.089225209,3.68,1.28,1,375,4.42,360,46.69636,-93.19206,485282.3,5171452.8
1002700,10027,2325,10001,0,20,NA,4702301,Sheriff,NA,2385.301023,35.76210182,97,88.37,85,80,NA,0.188691232,1.78,0.57,0.65846064,44,2.69112,270,46.5823,-93.19204,485291.1,5158746.6
1003300,10033,2182,9077,0,41,NA,4902328,Minnewawa,Rice,2401.477624,953.1124203,2451,2355.19,2512,21,8.2,0.050561973,18.64,2.92,0.861831982,2286,1.51125,225,46.70651,-93.25782,479848.5,5172825
1003400,10034,2192,9077,0,39,NA,4902324,Horseshoe,NA,2486.982829,97.14892116,252,240.06,237,12,7,0.065552796,3.72,1.01,0.788643611,240.06,1.07,NA,46.71653,-93.2098,483970.3,5173669.4
1004600,10046,1933,9088,0,23,NA,5102305,Ball Bluff,NA,2344.100706,68.08032578,178,168.23,159,78,25,0.062088698,2.76,0.88,0.804410359,32,4.8146,360,46.93261,-93.28038,478650.6,5197725.2
1005500,10055,4271,9081,0,20,NA,5102333,Boot,NA,2391.645304,32.16039642,77,79.47,78,67,NA,0.130885874,2.03,1,0.738467103,39,3.2004,NA,46.85876,-93.2539,480669.6,5189536.3
1005700,10057,1930,9088,0,28,NA,5102304,Little Ball Bluff,NA,2416.183237,15.0745535,37,37.25,34,49,NA,0.067185698,1.57,0.43,0.865894482,12,3.81,180,46.93819,-93.27347,479080.3,5198387.2
1005800,10058,3580,9088,0,35,NA,5202322,Vanduse,NA,2285.299377,96.92634386,233,239.51,230,27,8.2,0.132496155,5.71,0.97,1,189,3.2,360,46.97544,-93.24197,481578.1,5202475.5
1006200,10062,3581,9096,0,22,NA,4902304,Big Sandy,NA,2445.647738,2463.780977,9380,6088.13,6526,84,NA,0.085249662,56.45,4.44,0.439424041,3085,1.2465625,270,46.75583,-93.27131,478180.3,5178547.2
1006500,10065,4251,21005,0,39,NA,4302408,Cedar,NA,2547.224377,100.8679855,260,249.25,232,18,8,0.259352101,3.67,1.08,0.993156284,215,1.875,270,46.22042,-93.40385,468837.5,5118625.3
1006900,10069,2312,10003,0,39,NA,4702406,Portage,NA,2475.876041,150.7212538,387,372.44,316,18,8,0.101592421,5.12,2,0.985771689,313,1.522,NA,46.58622,-93.42499,467739.5,5159347.4
