max_depth_m,Parent_DOW.x,Parent_DOW.y,LAKE_AREA_MN_ACRES,LARGE_LAKE_FLAG,UTM_DATUM_ID,UTM_ZONE_ID
8.5344,10001,10001,377.76,N,83,15
7.0104,10015,10015,74.18,N,83,15
9.4488,10019,10019,173.43,N,83,15
8.2296,10023,10023,553.5,N,83,15
24.384,10027,10027,88.37,N,83,15
6.4008,10033,10033,2355.19,N,83,15
3.6576,10034,10034,240.06,N,83,15
23.7744,10046,10046,168.23,N,83,15
20.4216,10055,10055,79.47,N,83,15
14.9352,10057,10057,37.25,N,83,15
8.2296,10058,10058,239.51,N,83,15
25.6032,10062,10062,6088.13,N,83,15
5.4864,10065,10065,249.25,N,83,15
5.4864,10069,10069,372.44,N,83,15
13.716,10087,10087,416.09,N,83,15
35.3568,10089,10089,432.58,N,83,15
14.6304,10096,10096,597.66,N,83,15
13.4112,10099,10099,717.45,N,83,15
4.572,10105,10105,314.48,N,83,15
5.1816,10115,10115,434.47,N,83,15
7.62,10123,10123,518.13,N,83,15
18.288,10125,10125,433.24,N,83,15
11.2776,10129,10129,400.07,N,83,15
11.5824,10136,10136,666.09,N,83,15
17.9832,10137,10137,633.8,N,83,15
11.8872,10146,10146,629.24,N,83,15
9.4488,10147,10147,837.05,N,83,15
23.7744,10157,10157,635.08,N,83,15
17.0688,10159,10159,2002.95,N,83,15
14.9352,10178,10178,523.6,N,83,15
5.1816,10188,10188,320.8,N,83,15
17.0688,10201,10201,91.32,N,83,15
38.1,10204,10204,733.13,N,83,15
21.0312,10207,10207,113.18,N,83,15
7.3152,10212,10212,257.87,N,83,15
6.4008,20003,20003,302.21,N,83,15
5.4864,20004,20004,551.79,N,83,15
5.7912,20006,20006,473.86,N,83,15
6.7056,20022,20022,72.69,N,83,15
12.8016,20026,20026,572.1,N,83,15
6.096,20034,20034,232.31,N,83,15
7.0104,20035,20035,57.79,N,83,15
8.2296,20042,20042,1481.24,N,83,15
7.62,20045,20045,58.09,N,83,15
6.7056,20053,20053,154.63,N,83,15
3.048,20065,20065,334.29,N,83,15
5.4864,20071,20071,51.28,N,83,15
6.7056,20075,20075,27.6,N,83,15
7.9248,20084,20084,118.3,N,83,15
9.7536,20091,20091,487.71,N,83,15
6.4008,20106,20106,54.18,N,83,15
