DOWNumber,LAKE_NAME,cisco,whitefish,laketrout
1004000,Aitkin,1,0,0
1004600,Ball Bluff,1,0,0
1005700,Little Ball Bluff,1,0,0
1006200,Big Sandy,1,0,0
1007000,Round,1,0,0
1007300,Bass,1,0,0
1008900,Long,1,0,0
1009600,Dam,1,0,0
1010900,Taylor,1,0,0
1014600,Ripple,1,0,0
1015900,Farm Island,1,0,0
1017000,Hanging Kettle,1,0,0
1017600,Little Pine,1,0,0
1017800,Spirit,1,0,0
1017900,Hickory,1,0,0
1020400,Round,1,0,0
1020900,Cedar,1,0,0
3001000,Straight,1,0,0
3001700,Two Inlets,1,0,0
3003000,Boot,1,0,0
3008500,Bad Medicine,1,0,0
3013900,Pike,1,0,0
3015500,Round,1,1,0
3015600,Ice Cracking,1,0,0
3015800,Many Point,1,1,0
3015900,Elbow,1,0,0
3019500,Height of Land,1,0,0
3023400,Little Bemidji,1,0,0
3025800,Acorn,1,0,0
3028600,Cotton,1,0,0
3032300,Strawberry,1,0,0
3032800,White Earth,1,0,0
3035000,Buffalo,1,0,0
3035900,Sallie,1,0,0
3037100,Meadow,1,0,0
3038100,Detroit,1,0,0
3038300,Long,1,0,0
3038600,Little Floyd,1,0,0
3038700,Floyd,1,0,0
3047500,Melissa,1,0,0
3050000,Maud,1,0,0
3050300,Eunice,1,0,0
4000700,Kitchi,1,1,0
4001500,Little Rice,1,0,0
4002400,Gilstad,1,0,0
4003000,Cass,1,1,0
4003100,Big Rice,1,0,0
4003200,Pimushe,1,0,0
4003400,Rabideau,1,0,0
4003501,Red (Upper Red),0,1,0
4003800,Andrusia,1,1,0
4004200,Buck,1,0,0
4004900,Big,1,1,0
4006900,Blackduck,1,1,0
4007900,Wolf,1,1,0
4008500,Swenson,1,0,0
4011100,Turtle River,1,1,0
4013002,Bemidji (main lake),1,1,0
4013400,Three Island,1,0,0
4013500,Beltrami,1,0,0
4014000,Irving,1,1,0
4014100,Carr,1,0,0
4014200,Marquette,1,1,0
