year,COMMON_NAME,EF,GN,SE,TN,EW
1993,largemouth bass,115,106,137,159,NA
1993,northern pike,16,221,54,212,4
1993,walleye,51,202,19,188,12
1993,yellow perch,2,224,132,209,NA
1994,largemouth bass,117,113,118,170,1
1994,northern pike,39,235,45,244,3
1994,walleye,47,214,13,188,27
1994,yellow perch,2,236,110,222,NA
1995,largemouth bass,91,122,117,190,1
1995,northern pike,25,232,36,232,9
1995,walleye,49,220,12,179,34
1995,yellow perch,5,231,112,226,NA
1996,largemouth bass,91,115,85,156,NA
1996,northern pike,5,218,36,219,3
1996,walleye,37,211,11,180,34
1996,yellow perch,3,206,91,200,NA
1997,largemouth bass,91,85,88,141,1
1997,northern pike,6,193,38,211,10
1997,walleye,28,190,16,173,36
1997,yellow perch,NA,193,93,197,NA
1998,largemouth bass,100,112,84,160,3
1998,northern pike,9,206,24,203,4
1998,walleye,34,192,3,168,51
1998,yellow perch,3,205,78,186,NA
1999,largemouth bass,116,134,86,169,4
1999,northern pike,8,214,25,204,8
1999,walleye,44,194,11,163,54
1999,yellow perch,1,209,78,190,5
2000,largemouth bass,123,136,81,169,8
2000,northern pike,9,228,19,210,7
2000,walleye,48,217,4,177,69
2000,yellow perch,4,220,78,199,6
2001,largemouth bass,94,116,73,147,6
2001,northern pike,11,208,22,192,9
2001,walleye,38,194,7,144,62
2001,yellow perch,3,195,67,161,5
2002,largemouth bass,80,124,67,142,6
2002,northern pike,10,198,11,200,7
2002,walleye,46,182,9,157,69
2002,yellow perch,1,187,62,163,4
2003,largemouth bass,101,131,58,153,5
2003,northern pike,6,219,8,215,5
2003,walleye,48,185,3,159,65
2003,yellow perch,4,204,47,173,5
2004,largemouth bass,118,162,60,163,7
2004,northern pike,2,241,13,203,5
2004,walleye,45,224,5,175,65
2004,yellow perch,1,231,47,165,5
2005,largemouth bass,103,144,48,160,6
2005,northern pike,3,217,10,204,3
2005,walleye,28,196,1,166,59
2005,yellow perch,NA,206,37,172,3
2006,largemouth bass,103,157,34,142,6
2006,northern pike,NA,226,5,178,4
2006,walleye,26,222,4,151,71
2006,yellow perch,1,219,28,151,2
2007,largemouth bass,69,135,24,144,6
2007,northern pike,2,183,4,165,4
2007,walleye,24,177,3,136,73
2007,yellow perch,NA,164,22,152,4
2008,largemouth bass,110,166,28,156,6
2008,northern pike,1,232,7,188,5
2008,walleye,23,232,2,149,70
2008,yellow perch,1,231,25,150,4
2009,largemouth bass,98,122,20,137,5
2009,northern pike,1,189,5,173,1
2009,walleye,11,183,5,150,61
2009,yellow perch,1,188,22,153,4
2010,largemouth bass,106,138,10,150,5
2010,northern pike,7,204,6,202,5
2010,walleye,28,191,3,158,71
2010,yellow perch,1,194,8,169,3
2011,largemouth bass,95,97,5,106,3
2011,northern pike,13,155,1,143,5
2011,walleye,22,145,NA,121,66
2011,yellow perch,3,150,4,126,5
2012,largemouth bass,113,140,2,139,4
2012,northern pike,5,217,1,182,5
2012,walleye,22,204,NA,151,58
2012,yellow perch,1,208,4,158,3
2013,largemouth bass,98,154,3,147,3
2013,northern pike,2,228,1,194,5
2013,walleye,24,205,NA,141,77
2013,yellow perch,1,213,4,135,6
2014,largemouth bass,122,141,1,137,6
2014,northern pike,2,225,1,201,11
2014,walleye,21,209,1,160,83
2014,yellow perch,3,210,1,156,9
2015,largemouth bass,129,143,NA,147,3
2015,northern pike,4,200,NA,182,5
2015,walleye,21,192,NA,139,85
2015,yellow perch,1,187,NA,141,6
2016,largemouth bass,122,143,2,147,NA
2016,northern pike,1,193,NA,187,NA
2016,walleye,13,180,1,146,3
2016,yellow perch,1,184,2,150,NA
